LSOA11_CD,trips_per_day
E01000659,756.00
E01000661,6537.00
E01000662,1236.00
E01000663,2464.00
E01000664,1893.00
E01000665,3403.00
E01000666,4504.00
E01000667,6784.00
E01000668,5519.00
E01000670,9422.00
E01000671,4351.00
E01000672,994.00
E01000673,1513.00
E01000674,994.00
E01000675,25611.00
E01000676,17837.00
E01000677,1755.00
E01000678,3810.00
E01000679,733.00
E01000680,694.00
E01000681,106.00
E01000682,1406.00
E01000683,2973.00
E01000684,6.00
E01000685,1391.00
E01000686,5163.00
E01000687,2417.00
E01000688,430.00
E01000689,1268.00
E01000690,896.00
E01000691,1140.00
E01000692,5673.00
E01000693,5274.00
E01000694,1130.00
E01000695,1140.00
E01000696,5239.00
E01000697,2396.00
E01000698,2671.00
E01000699,4357.00
E01000700,825.00
E01000701,319.00
E01000702,2241.00
E01000703,6194.00
E01000704,1242.00
E01000705,1082.00
E01000706,499.00
E01000707,1162.00
E01000708,1548.00
E01000709,2184.00
E01000710,1181.00
E01000711,661.00
E01000712,1320.00
E01000713,824.00
E01000714,10497.00
E01000715,2641.00
E01000716,1522.00
E01000717,3214.00
E01000718,1553.00
E01000719,1002.00
E01000720,513.00
E01000721,866.00
E01000722,6376.00
E01000723,1155.00
E01000724,733.00
E01000725,884.00
E01000726,436.00
E01000727,3706.00
E01000728,2030.00
E01000729,860.00
E01000730,3724.00
E01000731,1195.00
E01000732,1770.00
E01000733,1776.00
E01000734,1010.00
E01000735,2288.00
E01000736,1920.00
E01000737,2062.00
E01000738,2663.00
E01000739,1340.00
E01000740,17971.00
E01000741,2867.00
E01000742,962.00
E01000743,8602.00
E01000744,908.00
E01000745,7627.00
E01000746,3252.00
E01000747,3658.00
E01000748,1352.00
E01000749,1134.00
E01000751,4496.00
E01000752,6088.00
E01000753,1992.00
E01000754,2942.00
E01000755,4132.00
E01000756,5600.00
E01000757,1592.00
E01000758,326.00
E01000759,1664.00
E01000760,4809.00
E01000761,732.00
E01000762,2178.00
E01000763,2155.00
E01000764,1861.00
E01000765,8048.00
E01000766,2082.00
E01000767,965.00
E01000768,2127.00
E01000769,332.00
E01000770,1773.00
E01000771,7595.00
E01000772,1385.00
E01000773,2336.00
E01000774,1783.00
E01000775,7416.00
E01000777,4351.00
E01000778,2597.00
E01000779,40.00
E01000780,888.00
E01000781,5597.00
E01000782,1925.00
E01000784,282.00
E01000785,565.00
E01000786,1064.00
E01000787,1184.00
E01000788,8347.00
E01000789,1257.00
E01000790,23967.00
E01000791,2943.00
E01000792,933.00
E01000793,186.00
E01000794,2864.00
E01000795,1010.00
E01000797,3680.00
E01000798,1164.00
E01000799,7534.00
E01000800,2934.00
E01000801,3390.00
E01000802,466.00
E01000803,1888.00
E01000804,421.00
E01000805,2226.00
E01000806,3202.00
E01000807,2771.00
E01000808,158.00
E01000809,1358.00
E01000810,1083.00
E01000811,612.00
